AGRDE_FLAG_NM,BMI_IDEX_GRAD_NM,MBER_SEXDSTN_FLAG_CD,COAW_FLAG_NM,SPORTS_STEP_NM,FLAG_ACCTO_RECOMEND_MVM_RANK_CO,RECOMEND_MVM_NM
"10대","1단계비만","F","1등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","1단계비만","F","1등급","마무리운동","2","온 몸 뻗어주기"
"10대","1단계비만","F","1등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","1단계비만","F","1등급","마무리운동","4","복식호흡"
"10대","1단계비만","F","1등급","마무리운동","5","아기자세"
"10대","1단계비만","F","1등급","본운동","1","맨몸운동  루틴프로그램"
"10대","1단계비만","F","1등급","본운동","2","줄넘기 운동"
"10대","1단계비만","F","1등급","본운동","3","버피 테스트"
"10대","1단계비만","F","1등급","본운동","4","조깅"
"10대","1단계비만","F","1등급","본운동","5","자전거타기"
"10대","1단계비만","F","1등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","1단계비만","F","1등급","준비운동","2","발목 돌리기"
"10대","1단계비만","F","1등급","준비운동","3","엎드려 한발 원 그리기"
"10대","1단계비만","F","1등급","준비운동","4","정적 스트레칭  루틴프로그램"
"10대","1단계비만","F","1등급","준비운동","5","몸통 비틀기"
"10대","1단계비만","F","2등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","1단계비만","F","2등급","마무리운동","2","온 몸 뻗어주기"
"10대","1단계비만","F","2등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","1단계비만","F","2등급","마무리운동","4","복식호흡"
"10대","1단계비만","F","2등급","마무리운동","5","아기자세"
"10대","1단계비만","F","2등급","본운동","1","맨몸운동  루틴프로그램"
"10대","1단계비만","F","2등급","본운동","2","줄넘기 운동"
"10대","1단계비만","F","2등급","본운동","3","버피 테스트"
"10대","1단계비만","F","2등급","본운동","4","조깅"
"10대","1단계비만","F","2등급","본운동","5","자전거타기"
"10대","1단계비만","F","2등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","1단계비만","F","2등급","준비운동","2","발목 돌리기"
"10대","1단계비만","F","2등급","준비운동","3","엎드려 한발 원 그리기"
"10대","1단계비만","F","2등급","준비운동","4","정적 스트레칭  루틴프로그램"
"10대","1단계비만","F","2등급","준비운동","5","몸통 비틀기"
"10대","1단계비만","F","3등급","마무리운동","1","정적 스트레칭  루틴프로그램"
"10대","1단계비만","F","3등급","마무리운동","2","온 몸 뻗어주기"
"10대","1단계비만","F","3등급","마무리운동","3","요가 및 필라테스  루틴프로그램"
"10대","1단계비만","F","3등급","마무리운동","4","복식호흡"
"10대","1단계비만","F","3등급","마무리운동","5","아기자세"
"10대","1단계비만","F","3등급","본운동","1","맨몸운동  루틴프로그램"
"10대","1단계비만","F","3등급","본운동","2","줄넘기 운동"
"10대","1단계비만","F","3등급","본운동","3","버피 테스트"
"10대","1단계비만","F","3등급","본운동","4","조깅"
"10대","1단계비만","F","3등급","본운동","5","자전거타기"
"10대","1단계비만","F","3등급","준비운동","1","동적 스트레칭 루틴프로그램"
"10대","1단계비만","F","3등급","준비운동","2","발목 돌리기"
"10대","1단계비만","F","3등급","준비운동","3","엎드려 한발 원 그리기"
"10대","1단계비만","F","3등급","준비운동","4","정적 스트레칭  루틴프로그램"
"10대","1단계비만","F","3등급","준비운동","5","몸통 비틀기"
"10대","1단계비만","F","참가증","마무리운동","1","온 몸 뻗어주기"
"10대","1단계비만","F","참가증","마무리운동","2","복식호흡"
